role_id,title,company,location,start,end,clients,summary,personas,visible
ey-director,Director,"EY, Risk Analytics",Perth,Mar 2022,Present,South32 · Fortescue · Rio Tinto · Northern Star · Chevron · Worley · Ampol,"I lead EY's national Risk Analytics practice across Oceania, grown from 3 to 16, owning practice strategy, commercial performance, capability and the delivery of our largest analytics, payroll compliance and continuous controls engagements in the mining and resources sector.",business|data,TRUE
unified-honey,Senior Account Executive,Unified Honey,Concurrent with EY,Jun 2025,Present,,"Founding contributor to a Snowflake Native App in the Snowflake Startup Accelerator, focused on governed, agent ready data products that bridge ERP systems with modern data platforms. I work across product strategy, go to market and data governance framework design.",data,TRUE
ey-manager,Manager,"EY, People Advisory Services",Perth,Feb 2020,Mar 2022,,"Led the Perth data analytics and automation team within People Advisory, delivering payroll, remuneration, superannuation and employment tax analytics for major Australian clients.",business|data,TRUE
mindfields,Senior Consultant,Mindfields,Perth,Jul 2019,Feb 2020,,"Specialist consulting in process improvement, governance and intelligent automation for large enterprise clients.",business,TRUE
ey-consultant,Consultant,"EY, People Advisory Services",Perth,Jan 2017,Jun 2019,,"Data analytics and process improvement across payroll, workforce planning and HR compliance for ASX listed clients.",business|data,TRUE
